"URDMCPLC.Code.or.Value","URDMCPLC.Value.Description","URDMCPLC.Count","URDMCPLC.Cumulative","URDMCPLC.Skip.to.Item"
"0","At or above the detection limit",112,112,NA
"1","Below lower detection limit",2492,2604,NA
".","Missing",114,2718,NA
