"DRD370F.Code.or.Value","DRD370F.Value.Description","DRD370F.Count","DRD370F.Cumulative","DRD370F.Skip.to.Item"
"1","Yes",319,319,""
"2","No",4761,5080,"DRD370G"
".","Missing",4202,9282,""
