"LBX180LA.Code.or.Value","LBX180LA.Value.Description","LBX180LA.Count","LBX180LA.Cumulative","LBX180LA.Skip.to.Item"
"1.6 to 572","Range of Values",2302,2302,NA
".","Missing",245,2547,NA
