"DR1TBCAR.Code.or.Value","DR1TBCAR.Value.Description","DR1TBCAR.Count","DR1TBCAR.Cumulative","DR1TBCAR.Skip.to.Item"
"0 to 203516","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
