"DR2TATOA.Code.or.Value","DR2TATOA.Value.Description","DR2TATOA.Count","DR2TATOA.Cumulative","DR2TATOA.Skip.to.Item"
"0 to 103.32","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
