"OPDSMA.Code.or.Value","OPDSMA.Value.Description","OPDSMA.Count","OPDSMA.Cumulative","OPDSMA.Skip.to.Item"
"0","No",2202,2202,NA
"1","Yes",97,2299,NA
".","Missing",635,2934,NA
