"PAQ724n.Code.or.Value","PAQ724n.Value.Description","PAQ724n.Count","PAQ724n.Cumulative","PAQ724n.Skip.to.Item"
"14","JUMPING ROPE",141,141,NA
".","Missing",9343,9484,NA
