"DBQ301.Code.or.Value","DBQ301.Value.Description","DBQ301.Count","DBQ301.Cumulative","DBQ301.Skip.to.Item"
"1","Yes",72,72,NA
"2","No",1716,1788,NA
"7","Refused",2,1790,NA
"9","Don't know",1,1791,NA
".","Missing",7965,9756,NA
