"DR2IVB2.Code.or.Value","DR2IVB2.Value.Description","DR2IVB2.Count","DR2IVB2.Cumulative","DR2IVB2.Skip.to.Item"
"0 to 10.833","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
