"MCQ240i.Code.or.Value","MCQ240i.Value.Description","MCQ240i.Count","MCQ240i.Cumulative","MCQ240i.Skip.to.Item"
"80","80 years or older",0,0,NA
"77777","Refused",0,0,NA
"99999","Don't know",0,0,NA
".","Missing",9364,9364,NA
