"SAMPLEID.Code.or.Value","SAMPLEID.Value.Description","SAMPLEID.Count","SAMPLEID.Cumulative","SAMPLEID.Skip.to.Item"
"1 to 265","Range of Values",1989,1989,NA
".","Missing",154,2143,NA
