"TYXP048.Code.or.Value","TYXP048.Value.Description","TYXP048.Count","TYXP048.Cumulative","TYXP048.Skip.to.Item"
"-80 to 161","Range of Values",8468,8468,NA
".","Missing",1,8469,NA
