"CIQP15.Code.or.Value","CIQP15.Value.Description","CIQP15.Count","CIQP15.Cumulative","CIQP15.Skip.to.Item"
"1","Yes",69,69,""
"2","Sometimes",3,72,""
"3","No",38,110,"CIDPSCOR"
"7","Refused",0,110,""
"9","Don't know",0,110,""
".","Missing",818,928,""
