"LBCODT.Code.or.Value","LBCODT.Value.Description","LBCODT.Count","LBCODT.Cumulative","LBCODT.Skip.to.Item"
"0.004 to 0.0722","Range of Values",247,247,NA
".","Missing",0,247,NA
