"DR2IBCAR.Code.or.Value","DR2IBCAR.Value.Description","DR2IBCAR.Count","DR2IBCAR.Cumulative","DR2IBCAR.Skip.to.Item"
"0 to 35684","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
