"AUXR8KL.Code.or.Value","AUXR8KL.Value.Description","AUXR8KL.Count","AUXR8KL.Cumulative","AUXR8KL.Skip.to.Item"
"15 to 100","Range of Values",25,25,NA
"666","No response",1,26,NA
"888","Could not obtain",0,26,NA
".","Missing",2020,2046,NA
