"URXOP5.Code.or.Value","URXOP5.Value.Description","URXOP5.Count","URXOP5.Cumulative","URXOP5.Skip.to.Item"
"0.3606 to 297.12","Range of Values",2571,2571,NA
".","Missing",123,2694,NA
