"OPDDRPE.Code.or.Value","OPDDRPE.Value.Description","OPDDRPE.Count","OPDDRPE.Cumulative","OPDDRPE.Skip.to.Item"
"0","No",2994,2994,NA
"1","Yes",69,3063,NA
".","Missing",800,3863,NA
