"PAXINTEN.Code.or.Value","PAXINTEN.Value.Description","PAXINTEN.Count","PAXINTEN.Cumulative","PAXINTEN.Skip.to.Item"
"0 to 32767","Range of Values",72250027,72250027,NA
".","Missing",0,72250027,NA
