"MCD330.Code.or.Value","MCD330.Value.Description","MCD330.Count","MCD330.Cumulative","MCD330.Skip.to.Item"
"1 to 5844","Range of Values",1048,1048,NA
"777777","Refused",1,1049,NA
"999999","Don't know",33,1082,NA
".","Missing",8584,9666,NA
