"WHD100Q.Code.or.Value","WHD100Q.Value.Description","WHD100Q.Count","WHD100Q.Cumulative","WHD100Q.Skip.to.Item"
"43","Ate more fruits, vegetables, salads",219,219,NA
".","Missing",6670,6889,NA
