"DRD370M.Code.or.Value","DRD370M.Value.Description","DRD370M.Count","DRD370M.Cumulative","DRD370M.Skip.to.Item"
"1","Yes",831,831,""
"2","No",4249,5080,"DRD370N"
".","Missing",4202,9282,""
