"BIXC010K.Code.or.Value","BIXC010K.Value.Description","BIXC010K.Count","BIXC010K.Cumulative","BIXC010K.Skip.to.Item"
"17.15 to 427.74","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
