"URXUPB.Code.or.Value","URXUPB.Value.Description","URXUPB.Count","URXUPB.Cumulative","URXUPB.Skip.to.Item"
"0.07 to 13.1","Range of Values",2690,2690,NA
".","Missing",114,2804,NA
