"DSQIVB2.Code.or.Value","DSQIVB2.Value.Description","DSQIVB2.Count","DSQIVB2.Cumulative","DSQIVB2.Skip.to.Item"
"0.003 to 400","Range of Values",1825,1825,NA
".","Missing",7734,9559,NA
