"CIQDPE.Code.or.Value","CIQDPE.Value.Description","CIQDPE.Count","CIQDPE.Cumulative","CIQDPE.Skip.to.Item"
"1","Yes",0,0,""
"2","No",19,19,"CIDDPRB"
"7","Refuse",0,19,"CIDDPRB"
"9","Don't know",0,19,"CIDDPRB"
".","Missing",759,778,""
