"DR2TRET.Code.or.Value","DR2TRET.Value.Description","DR2TRET.Count","DR2TRET.Cumulative","DR2TRET.Skip.to.Item"
"0 to 9916","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
