"LBDMONO.Code.or.Value","LBDMONO.Value.Description","LBDMONO.Count","LBDMONO.Cumulative","LBDMONO.Skip.to.Item"
"0 to 10.2","Range of Values",7944,7944,NA
".","Missing",1012,8956,NA
