"LBCBR8.Code.or.Value","LBCBR8.Value.Description","LBCBR8.Count","LBCBR8.Cumulative","LBCBR8.Skip.to.Item"
"0.9192 to 28.66","Range of Values",299,299,NA
".","Missing",2,301,NA
