"DS1ISUGR.Code.or.Value","DS1ISUGR.Value.Description","DS1ISUGR.Count","DS1ISUGR.Cumulative","DS1ISUGR.Skip.to.Item"
"0.25 to 30","Range of Values",787,787,NA
".","Missing",4907,5694,NA
