"SPXNFEV6.Code.or.Value","SPXNFEV6.Value.Description","SPXNFEV6.Count","SPXNFEV6.Cumulative","SPXNFEV6.Skip.to.Item"
"826 to 8554","Range of Values",7079,7079,NA
".","Missing",1116,8195,NA
