"OHD28LAS.Code.or.Value","OHD28LAS.Value.Description","OHD28LAS.Count","OHD28LAS.Cumulative","OHD28LAS.Skip.to.Item"
"0 to 10","Range of Values",2534,2534,NA
"99","Calculation cannot be determined",279,2813,NA
".","Missing",4317,7130,NA
