"DR1IRET.Code.or.Value","DR1IRET.Value.Description","DR1IRET.Count","DR1IRET.Cumulative","DR1IRET.Skip.to.Item"
"0 to 15890","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
