"DS1TFA.Code.or.Value","DS1TFA.Value.Description","DS1TFA.Count","DS1TFA.Cumulative","DS1TFA.Skip.to.Item"
"6.3 to 4132","Range of Values",1850,1850,NA
".","Missing",8403,10253,NA
