"DS2TMFAT.Code.or.Value","DS2TMFAT.Value.Description","DS2TMFAT.Count","DS2TMFAT.Cumulative","DS2TMFAT.Skip.to.Item"
"0.17 to 6","Range of Values",53,53,NA
".","Missing",8651,8704,NA
