"DR1TP225.Code.or.Value","DR1TP225.Value.Description","DR1TP225.Count","DR1TP225.Cumulative","DR1TP225.Skip.to.Item"
"0 to 1.198","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
