"SSTOXAV.Code.or.Value","SSTOXAV.Value.Description","SSTOXAV.Count","SSTOXAV.Cumulative","SSTOXAV.Skip.to.Item"
"5 to 68.6","Range of Values",38,38,NA
".","Missing",6061,6099,NA
