"OCD150.Code.or.Value","OCD150.Value.Description","OCD150.Count","OCD150.Cumulative","OCD150.Skip.to.Item"
"1","Working at a job or business,",3345,3345,"OCQ180"
"2","With a job or business but not at work,",98,3443,"OCQ210"
"3","Looking for work, or",200,3643,"OCD390G"
"4","Not working at a job or business?",2816,6459,"OCQ380"
"7","Refused",0,6459,"OCD390G"
"9","Don't know",0,6459,"OCD390G"
".","Missing",5,6464,""
