"DBQ223A.Code.or.Value","DBQ223A.Value.Description","DBQ223A.Count","DBQ223A.Cumulative","DBQ223A.Skip.to.Item"
"10","Whole or regular,",2786,2786,NA
"77","Refused",0,2786,NA
"99","Don't know",8,2794,NA
".","Missing",6962,9756,NA
