"PFQ061C.Code.or.Value","PFQ061C.Value.Description","PFQ061C.Count","PFQ061C.Cumulative","PFQ061C.Skip.to.Item"
"1","No difficulty",1404,1404,NA
"2","Some difficulty",196,1600,NA
"3","Much difficulty",58,1658,NA
"4","Unable to do",23,1681,NA
"5","Do not do this activity",9,1690,NA
"7","Refused",0,1690,NA
"9","Don't know",0,1690,NA
".","Missing",8132,9822,NA
