"LBCBB1.Code.or.Value","LBCBB1.Value.Description","LBCBB1.Count","LBCBB1.Cumulative","LBCBB1.Skip.to.Item"
"1.8 to 804.4","Range of Values",264,264,NA
".","Missing",0,264,NA
