"LBXSCLSI.Code.or.Value","LBXSCLSI.Value.Description","LBXSCLSI.Count","LBXSCLSI.Cumulative","LBXSCLSI.Skip.to.Item"
"86.1 to 112.6","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
