"MPQ070.Code.or.Value","MPQ070.Value.Description","MPQ070.Count","MPQ070.Cumulative","MPQ070.Skip.to.Item"
"1","Yes",1825,1825,""
"2","No",3049,4874,"MPQ090"
"7","Refused",1,4875,"MPQ090"
"9","Don't know",3,4878,"MPQ090"
".","Missing",2,4880,""
