"AUXU8KR.Code.or.Value","AUXU8KR.Value.Description","AUXU8KR.Count","AUXU8KR.Cumulative","AUXU8KR.Skip.to.Item"
"-10 to 110","Range of Values",1761,1761,NA
"666","No response",5,1766,NA
"888","Could not obtain",2,1768,NA
".","Missing",121,1889,NA
