"ECD010.Code.or.Value","ECD010.Value.Description","ECD010.Count","ECD010.Cumulative","ECD010.Skip.to.Item"
"15 to 44","Range of Values",3589,3589,NA
"14","14 years or younger",12,3601,NA
"45","45 years or older",10,3611,NA
"7777","Refused",0,3611,NA
"9999","Don't know",37,3648,NA
".","Missing",0,3648,NA
