"SSCYGOP.Code.or.Value","SSCYGOP.Value.Description","SSCYGOP.Count","SSCYGOP.Cumulative","SSCYGOP.Skip.to.Item"
"0 to 1","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
