"DS1IZINC.Code.or.Value","DS1IZINC.Value.Description","DS1IZINC.Count","DS1IZINC.Cumulative","DS1IZINC.Skip.to.Item"
"0.11 to 108","Range of Values",1456,1456,NA
".","Missing",4502,5958,NA
