"RFXT014.Code.or.Value","RFXT014.Value.Description","RFXT014.Count","RFXT014.Cumulative","RFXT014.Skip.to.Item"
"106 to 115","Range of Values",33713,33713,NA
".","Missing",8,33721,NA
