"DR2IVC.Code.or.Value","DR2IVC.Value.Description","DR2IVC.Count","DR2IVC.Cumulative","DR2IVC.Skip.to.Item"
"0 to 1280.9","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
