"DSQTFIBE.Code.or.Value","DSQTFIBE.Value.Description","DSQTFIBE.Count","DSQTFIBE.Cumulative","DSQTFIBE.Skip.to.Item"
"0.02 to 18","Range of Values",101,101,NA
".","Missing",9655,9756,NA
