"LBC138LA.Code.or.Value","LBC138LA.Value.Description","LBC138LA.Count","LBC138LA.Cumulative","LBC138LA.Skip.to.Item"
"0.1 to 121","Range of Values",264,264,NA
".","Missing",0,264,NA
