"ORXH58.Code.or.Value","ORXH58.Value.Description","ORXH58.Count","ORXH58.Cumulative","ORXH58.Skip.to.Item"
"1","Positive",7,7,NA
"2","Negative",4717,4724,NA
"3","Not evaluated",333,5057,NA
".","Missing",0,5057,NA
