"DR2IVARA.Code.or.Value","DR2IVARA.Value.Description","DR2IVARA.Count","DR2IVARA.Cumulative","DR2IVARA.Skip.to.Item"
"0 to 29869","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
