"DRD350IQ.Code.or.Value","DRD350IQ.Value.Description","DRD350IQ.Count","DRD350IQ.Cumulative","DRD350IQ.Skip.to.Item"
"1 to 8","Range of Values",235,235,NA
".","Missing",9309,9544,NA
