"DXXPEBMD.Code.or.Value","DXXPEBMD.Value.Description","DXXPEBMD.Count","DXXPEBMD.Cumulative","DXXPEBMD.Skip.to.Item"
"0.542 to 2.767","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
