"DR1IM181.Code.or.Value","DR1IM181.Value.Description","DR1IM181.Count","DR1IM181.Cumulative","DR1IM181.Skip.to.Item"
"0 to 190.556","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
