"LBXCRP.Code.or.Value","LBXCRP.Value.Description","LBXCRP.Count","LBXCRP.Cumulative","LBXCRP.Skip.to.Item"
"0.01 to 20","Range of Values",6809,6809,NA
".","Missing",1903,8712,NA
