"DR2IVARA.Code.or.Value","DR2IVARA.Value.Description","DR2IVARA.Count","DR2IVARA.Cumulative","DR2IVARA.Skip.to.Item"
"0 to 18616","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
