"MGXH2T2E.Code.or.Value","MGXH2T2E.Value.Description","MGXH2T2E.Count","MGXH2T2E.Cumulative","MGXH2T2E.Skip.to.Item"
"1","Maximal",6955,6955,NA
"2","Questionable",111,7066,NA
".","Missing",755,7821,NA
