"LBXSATSI.Code.or.Value","LBXSATSI.Value.Description","LBXSATSI.Count","LBXSATSI.Cumulative","LBXSATSI.Skip.to.Item"
"4 to 890","Range of Values",6372,6372,NA
".","Missing",545,6917,NA
