"DR2INIAC.Code.or.Value","DR2INIAC.Value.Description","DR2INIAC.Count","DR2INIAC.Cumulative","DR2INIAC.Skip.to.Item"
"0 to 159.778","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
