"IND235.Code.or.Value","IND235.Value.Description","IND235.Count","IND235.Cumulative","IND235.Skip.to.Item"
"1","$0 - $399",278,278,NA
"2","$400 - $799",403,681,NA
"3","$800 - $1,249",857,1538,NA
"4","$1,250 - $1,649",667,2205,NA
"5","$1,650 - $2,099",743,2948,NA
"6","$2,100 - $2,899",846,3794,NA
"7","$2,900 - $3,749",1060,4854,NA
"8","$3,750 - $4,599",789,5643,NA
"9","$4,600 - $5,399",590,6233,NA
"10","$5,400 - $6,249",555,6788,NA
"11","$6,250 - $8,399",635,7423,NA
"12","$8,400 and over",1025,8448,NA
"77","Refused",203,8651,NA
"99","Don't know",769,9420,NA
".","Missing",551,9971,NA
