"OHARNF.Code.or.Value","OHARNF.Value.Description","OHARNF.Count","OHARNF.Cumulative","OHARNF.Skip.to.Item"
"1","Yes",4991,4991,NA
"2","No",43,5034,NA
".","Missing",3922,8956,NA
