"DRD370F.Code.or.Value","DRD370F.Value.Description","DRD370F.Count","DRD370F.Cumulative","DRD370F.Skip.to.Item"
"1","Yes",271,271,""
"2","No",5153,5424,"DRD370G"
".","Missing",4338,9762,""
